title,category
Snack at Fried rice from food court,Food
Went for diagnostic center Physiotherapy session,Health
Went for pharmacy Vitamin supplements,Health
Paid for Parking fee from Sajha Yatayat,Transport
Chicken curry - McDonald's,Food
Cleared Credit card payment,Bills
Renewed YouTube Premium annual plan,Entertainment
Paid for Apartment rent,Bills
Comic book - Disney+,Entertainment
Bought Project materials for the workshop,Education
Registered for library Project materials,Education
Concert ticket - Xbox Game Pass,Entertainment
Sweater for office,Shopping
Paid utility company Apartment rent,Bills
Subscribed to local cinema Karaoke night,Entertainment
Paid for Groceries for the party,Food
Purchased Workshop registration from Udemy,Education
Paid for Loan EMI for the apartment,Bills
Registered for Coaching class fee,Education
Paid for local garage Train ticket,Transport
Purchased Certification exam from university,Education
Recharged petrol pump Car rental,Transport
Bought Board game from Disney+,Entertainment
Bought Workshop registration from local college,Education
Bought Amazon Makeup kit,Shopping
Renewed Stand-up comedy show from Amazon Prime,Entertainment
Monthly WiFi payment,Bills
Registered for Exam fee,Education
Paid for boutique Bedsheet,Shopping
Renewed local cinema Music album,Entertainment
Shopping for Cap for office,Shopping
Xbox Game Pass Karaoke night,Entertainment
Paid for Streaming service from Amazon Prime,Entertainment
Booked gas station Parking fee,Transport
Shopping for shopping center Sneakers,Shopping
Programming course - Coursera,Education
Bought Udemy Thesis printing,Education
Bought E-book purchase from Spotify,Entertainment
Hospital bill - diagnostic center,Health
Ordered Necklace from shopping center,Shopping
Society fee for May,Bills
Car service for June,Transport
Lunch at Donuts with family,Food
Paid Textbooks for the workshop,Education
Paid for Bike wash from Pathao,Transport
Used InDrive Metro card recharge,Transport
Refueled with InDrive Bike wash,Transport
Paid for Cinema ticket from YouTube,Entertainment
Monthly local ISP Gas cylinder,Bills
Took a Bus ticket from gas station,Transport
Booked Movie ticket from Netflix,Entertainment
Textbooks - Udemy,Education
Shirt for April,Shopping
Paid for Socks online order,Shopping
Purchased Bike repair to college,Transport
Purchased Library fine from university,Education
Shopping for online store Bedsheet,Shopping
Paid for Makeup kit for birthday gift,Shopping
Disney+ subscription from Xbox Game Pass,Entertainment
Bought McDonald's Cooking oil,Food
Booked petrol pump Ride share,Transport
Bought Amazon Shirt,Shopping
Booked Physiotherapy session emergency visit,Health
Purchased Sajha Yatayat Ride share,Transport
Socks for May,Shopping
Registered for Software license for study,Education
Paid for Apartment rent this month,Bills
Bought College fee,Education
Bought university Coaching class fee,Education
Water tank refill for July,Bills
Bought Biryani from Domino's,Food
Recharged Pathao ride to college,Transport
Paid for French fries from local bakery,Food
Physiotherapy session - diagnostic center,Health
Recharged local garage Auto rickshaw fare,Transport
Cleared Water tank refill from bank,Bills
Took out Wow Momo Grilled fish,Food
Monthly Credit card payment annual payment,Bills
Used local garage Metro card recharge,Transport
Got a new Sneakers for birthday gift,Shopping
Auto rickshaw fare to college,Transport
Got a new Sunglasses,Shopping
Charger - shopping center,Shopping
Shopping for outlet store Curtains,Shopping
Health insurance premium for July,Health
Phone case - shopping center,Shopping
Bought Foodmandu Juice,Food
Bought coaching center College tuition,Education
Programming course for March,Education
Monthly Electricity bill,Bills
Booked hospital Medicine,Health
Purchased Library fine,Education
Settled Water tank refill from local ISP,Bills
Purchased new Watch from online store,Shopping
Enrolled in library School books,Education
Took out Pizza Hut Juice,Food
Bought Necklace from local mall,Shopping
Got a new Wallet for birthday gift,Shopping
Bought university Project materials,Education
Sunglasses - outlet store,Shopping
Registered for Thesis printing from university,Education
Registered for coaching center College tuition,Education
Cleared Electricity bill for the apartment,Bills
Booked Disney+ PlayStation Plus,Entertainment
Subscribed to Movie ticket from Disney+,Entertainment
Hospital bill - wellness center,Health
Arcade tokens for September,Entertainment
Paid for Amazon Prime E-book purchase,Entertainment
Purchased new Furniture piece,Shopping
Purchased Bubble tea for the party,Food
Took a InDrive Parking fee,Transport
Paid for Dumplings from Starbucks,Food
Paid for Gaming subscription from Netflix,Entertainment
Cleared Gas cylinder quarterly payment,Bills
Metro card recharge for September,Transport
Booked Yoga class fee routine visit,Health
Bought T-shirt from outlet store,Shopping
Jeans for April,Shopping
Bought diagnostic center Physiotherapy session,Health
Ordered Earrings online order,Shopping
Purchased local garage Bike rental,Transport
Purchased Pathao Helmet purchase,Transport
Went for Yoga class fee from wellness center,Health
Purchased Cab fare from Uber,Transport
Used InDrive Tire replacement,Transport
Bought Socks for office,Shopping
Shopping for Amazon Wallet,Shopping
Shopping for boutique Umbrella,Shopping
Bought Udemy Coaching class fee,Education
Got a new local mall Jacket,Shopping
Renewed Cinema ticket from PlayStation,Entertainment
Got a new T-shirt online order,Shopping
Bought Health insurance premium from hospital,Health
Breakfast at dhaba Taco,Food
Paid Coaching class fee from bookstore,Education
Enrolled in library University fee,Education
Purchased new Phone case online order,Shopping
Paid NEA WiFi payment,Bills
Took a Flight ticket to college,Transport
Went for local clinic Eye checkup,Health
Bought Netflix subscription with friends,Entertainment
Library fine,Education
Paid coaching center Certification exam,Education
Ordered Jacket from online store,Shopping
Auto rickshaw fare from Pathao,Transport
Enrolled in College fee for the workshop,Education
Subscribed to Disney+ subscription premium plan,Entertainment
Booked hospital Pharmacy purchase,Health
Paid for landlord Cable TV bill,Bills
Booked Bike rental from Tootle,Transport
Visited for Yoga class fee checkup,Health
Took a local garage Metro card recharge,Transport
Vehicle insurance from petrol pump,Transport
Subscribed to Theatre ticket from Spotify,Entertainment
Grabbed street food stall Dumplings,Food
Gas cylinder - bank,Bills
Took a InDrive Bike rental,Transport
Paid for Bag for office,Shopping
Booked Theatre ticket from Disney+,Entertainment
Ride share from local garage,Transport
Bought Project materials this semester,Education
Refueled with Cab fare from Pathao,Transport
Paid Gas cylinder from NEA,Bills
Purchased Netflix subscription premium plan,Entertainment
Paid for Video game purchase from Amazon Prime,Entertainment
Subscribed to Spotify subscription from YouTube,Entertainment
Bubble tea - Domino's,Food
Ordered Grilled fish from Subway,Food
Bus ticket for a trip,Transport
Purchased Online course this semester,Education
Paid Udemy Software license for study,Education
Paid for Fried chicken,Food
Paid for Medicine,Health
Took out Pizza,Food
Purchased Burger,Food
Took out Donuts during break,Food
petrol pump Bike repair,Transport
Bought shopping center Earrings,Shopping
Purchased restaurant Momo,Food
Purchased new local mall Laptop bag,Shopping
Recharged Auto rickshaw fare,Transport
Purchased Music album family plan,Entertainment
Doctor appointment for May,Health
Samosa for May,Food
Visited for hospital Eye checkup,Health
Went for local clinic Health checkup,Health
Bought Coaching class fee annual fee,Education
Fruits - hotel restaurant,Food
Visited for Eye checkup from hospital,Health
Bought Doctor appointment from local clinic,Health
Bought Spotify Bowling session,Entertainment
Booked Bike repair for a trip,Transport
online store Belt,Shopping
X-ray for November,Health
Power bank - shopping center,Shopping
Visited for Hospital bill,Health
Noodles for October,Food
Sweater from shopping center,Shopping
Settled Gas cylinder this month,Bills
Recharged Scooter rental from Tootle,Transport
Bought Doctor appointment from diagnostic center,Health
Took out Sandwich from Wow Momo,Food
Cleared Water tank refill,Bills
Bought Steam purchase from Spotify,Entertainment
Bought Study materials for the course,Education
Subscribed to Netflix Arcade tokens,Entertainment
Subscribed to Disney+ subscription family plan,Entertainment
Soup for February,Food
Dinner at Bajeko Sekuwa Momo,Food
Enrolled in Textbooks,Education
Had Soup for the party,Food
Bought Software license for study from Udemy,Education
Bowling session from Netflix,Entertainment
Gas cylinder - insurance company,Bills
Paid for diagnostic center Eye checkup,Health
Amazon Prime Concert ticket,Entertainment
Registered for Project materials,Education
Used Fuel station from Pathao,Transport
Painkillers - diagnostic center,Health
Paid for landlord Loan EMI,Bills
Paid landlord Gas cylinder,Bills
Purchased Vehicle insurance airport transfer,Transport
Paid Workshop registration,Education
Paid for Amazon Laptop bag,Shopping
Got a new Headphones from Daraz,Shopping
Used Bike wash,Transport
Got a new Jacket seasonal sale,Shopping
Purchased Car rental to hospital,Transport
Paid for Wallet from outlet store,Shopping
Renewed YouTube Stand-up comedy show,Entertainment
Bought Samosa from Starbucks,Food
Paid for Video game purchase from Spotify,Entertainment
Paid for Phone bill,Bills
Enrolled in Udemy Online course,Education
Paid for Amazon Perfume,Shopping
Subscribed to Spotify Disney+ subscription,Entertainment
Sajha Yatayat Car service,Transport
Booked Pathao Bike fuel,Transport
Went for Pharmacy purchase,Health
Physiotherapy session for January,Health
Purchased Project materials,Education
Cable TV bill - utility company,Bills
Got a new online store Sweater,Shopping
Monthly WiFi payment from bank,Bills
Paid for Momo for the party,Food
Bought YouTube Premium monthly plan,Entertainment
Steam Concert ticket,Entertainment
Coaching class fee,Education
Used local garage Parking fee,Transport
Umbrella - Amazon,Shopping
Visited for Health checkup from wellness center,Health
Parking fee to home,Transport
Visited for Health insurance premium routine visit,Health
Paid for NEA Gas cylinder,Bills
Paid for Kitchenware for college,Shopping
Paid Udemy School books,Education
Purchased Study materials from university,Education
Shopping for Headphones from online store,Shopping
Cab fare - Uber,Transport
Renewed local cinema YouTube Premium,Entertainment
Purchased Car rental to home,Transport
Recharged Bike fuel for weekend trip,Transport
Vehicle insurance for a trip,Transport
Visited for diagnostic center Dental appointment,Health
Thukpa for June,Food
Renewed YouTube Premium,Entertainment
Used Cab fare downtown,Transport
Shopping for Jacket from local mall,Shopping
WiFi payment for January,Bills
Booked diagnostic center Health insurance premium,Health
Bought Dental appointment routine visit,Health
Paid for Xbox Game Pass Board game,Entertainment
Purchased Rice bag,Food
Booked Vitamin supplements follow-up visit,Health
Dinner at KFC Snacks,Food
Monthly House rent,Bills
Breakfast at Starbucks Waffles,Food
Monthly Phone bill,Bills
Makeup kit from local mall,Shopping
Grabbed Waffles for the party,Food
Paid for Earrings online order,Shopping
Got a new Umbrella from Daraz,Shopping
Paid for Bike repair from Sajha Yatayat,Transport
Bought Yoga class fee routine visit,Health
Registered for coaching center Stationery,Education
Recharged Pathao Parking fee,Transport
Cleared Property tax from insurance company,Bills
Purchased Arcade tokens from Steam,Entertainment
Paid for Cable TV bill,Bills
Booked PlayStation Cinema ticket,Entertainment
Paid for Amazon Prime PlayStation Plus,Entertainment
Visited for pharmacy Painkillers,Health
Got a new Daraz Charger,Shopping
Subscribed to Gaming subscription from Steam,Entertainment
Booked Blood test from pharmacy,Health
Breakfast at Burrito,Food
Ordered shopping center Earrings,Shopping
Grabbed Coffee from McDonald's,Food
boutique Headphones,Shopping
Used Pathao Cab fare,Transport
Paid for Health checkup from diagnostic center,Health
Paid for Movie ticket,Entertainment
Paid for Sandwich,Food
Paid for Fruits from dhaba,Food
Purchased bookstore College supplies,Education
Visited for Yoga class fee from pharmacy,Health
Got a new Shoes from outlet store,Shopping
Went for Health insurance premium from gym,Health
Paid Credit card payment annual payment,Bills
Breakfast at dhaba Fried chicken,Food
Refueled with Train ticket from Sajha Yatayat,Transport
Enrolled in College fee from Coursera,Education
Bought E-book purchase from YouTube,Entertainment
Renewed Music album family plan,Entertainment
Yoga class fee,Health
Bought Vaccination from gym,Health
Vehicle insurance for May,Transport
Purchased new Necklace from shopping center,Shopping
Home loan installment - local ISP,Bills
Paid Project materials,Education
Paid for Gas cylinder annual payment,Bills
Coaching class fee - coaching center,Education
Enrolled in library College tuition,Education
Breakfast at Dosa,Food
Took a Ride share from Pathao,Transport
Monthly Apartment rent from bank,Bills
Got a new Shoes from boutique,Shopping
Paid for Health checkup,Health
Project materials for June,Education
Bought bookstore College fee,Education
Tire replacement to office,Transport
Purchased School books from local college,Education
Blood test - wellness center,Health
Refueled with InDrive Petrol,Transport
Paid WiFi payment for the apartment,Bills
Purchased Bike repair from Tootle,Transport
Bought Online course,Education
Refueled with InDrive Pathao ride,Transport
Stand-up comedy show from Xbox Game Pass,Entertainment
Grabbed Burger King Coffee,Food
Breakfast at Chicken curry from Bajeko Sekuwa,Food
Booked YouTube Bowling session,Entertainment
Settled Water bill annual payment,Bills
Booked Board game from Netflix,Entertainment
PlayStation Amazon Prime membership,Entertainment
Gym membership - pharmacy,Health
Eye checkup - pharmacy,Health
Cleared Home loan installment from insurance company,Bills
Visited for Health checkup from gym,Health
Took out Coffee from Subway,Food
Booked Stand-up comedy show from local cinema,Entertainment
Loan EMI - insurance company,Bills
Snack at cafe Taco,Food
Used Bus ticket to college,Transport
Ramen - Pizza Hut,Food
Purchased new boutique Jeans,Shopping
Enrolled in bookstore College supplies,Education
Purchased Petrol to the mall,Transport
YouTube YouTube Premium,Entertainment
Momo - Burger King,Food
Purchased Certification exam for the workshop,Education
Socks - local mall,Shopping
Bought PlayStation Music album,Entertainment
Paid for local cinema Movie ticket,Entertainment
Curtains - local mall,Shopping
Painkillers for February,Health
Thesis printing - local college,Education
Settled landlord Cable TV bill,Bills
Yoga class fee - pharmacy,Health
Paid for Painkillers emergency visit,Health
Renewed Cinema ticket weekend outing,Entertainment
Curtains for January,Shopping
Paid for Shoes for birthday gift,Shopping
Paid for Watch for college,Shopping
Took a Flight ticket to hospital,Transport
Steam Streaming service,Entertainment
Paid for Car rental from gas station,Transport
Ordered shopping center Necklace,Shopping
Visited for Gym membership from local clinic,Health
Purchased new online store Jeans,Shopping
Registered for Udemy School books,Education
Bought Eggs at office,Food
Fried rice - restaurant,Food
Comic book - Amazon Prime,Entertainment
Purchased Project materials from university,Education
Went for gym Blood test,Health
Painkillers for June,Health
Shopping for Backpack seasonal sale,Shopping
Ordered Daraz Umbrella,Shopping
Got a new shopping center Jacket,Shopping
Lunch at hotel restaurant Smoothie,Food
Paid for telecom provider WiFi payment,Bills
Paid for Fried chicken from street food stall,Food
Cleared Internet bill from insurance company,Bills
Paid for dhaba Sandwich,Food
Disney+ Concert ticket,Entertainment
Paid Software license for study,Education
Cinema ticket - YouTube,Entertainment
Got a new Earrings from local mall,Shopping
Recharged Helmet purchase from InDrive,Transport
Paid for KFC Fried rice,Food
Paid for gym Medical bill,Health
Enrolled in Coaching class fee for the course,Education
Bought Theatre ticket from local cinema,Entertainment
House rent - landlord,Bills
Renewed Arcade tokens from Netflix,Entertainment
Purchased Bike wash to office,Transport
Purchased Amazon Prime Karaoke night,Entertainment
Software license for study - Coursera,Education
Samosa for June,Food
Booked YouTube Streaming service,Entertainment
Paid for Vaccination,Health
Purchased new Amazon Sneakers,Shopping
Auto rickshaw fare - gas station,Transport
Cleared telecom provider Society fee,Bills
Purchased new Umbrella online order,Shopping
Went for Hospital bill monthly,Health
Refueled with Car service from InDrive,Transport
Paid for Daraz Phone case,Shopping
Samosa for July,Food
Purchased Programming course,Education
Sandwich - Bajeko Sekuwa,Food
Booked Lab test,Health
Bought local clinic Dental appointment,Health
Purchased new Backpack from Amazon,Shopping
Visited for diagnostic center Yoga class fee,Health
Went for Medicine from pharmacy,Health
Cooking oil - Bajeko Sekuwa,Food
Booked Auto rickshaw fare downtown,Transport
Ordered Bajeko Sekuwa Pasta,Food
Bought boutique Umbrella,Shopping
College fee,Education
Renewed Streaming service premium plan,Entertainment
Booked Netflix subscription from Steam,Entertainment
Bought College fee from Udemy,Education
Ordered Foodmandu Dal bhat,Food
Registered for university College tuition,Education
Credit card payment for September,Bills
local mall Bag,Shopping
Surgery cost - wellness center,Health
Lab fee - university,Education
Went for Vaccination from pharmacy,Health
Took a Car rental to hospital,Transport
Took out Hot dog at college,Food
Cleared Home loan installment this month,Bills
Visited for gym Health insurance premium,Health
Burger - Pizza Hut,Food
Umbrella from outlet store,Shopping
Had Chicken curry from hotel restaurant,Food
Monthly local ISP WiFi payment,Bills
Bought online store Laptop bag,Shopping
Petrol for October,Transport
Refueled with Bike rental for a trip,Transport
Went for Physiotherapy session monthly,Health
Paid for local clinic Gym membership,Health
Renewed Arcade tokens monthly plan,Entertainment
Lunch at Noodles from Starbucks,Food
Perfume - Amazon,Shopping
Furniture piece for March,Shopping
Ordered Belt from shopping center,Shopping
Had Smoothie,Food
Renewed Disney+ subscription,Entertainment
Purchased Metro card recharge from Uber,Transport
Programming course,Education
Purchased Sandwich from Starbucks,Food
Lunch at cafe Pasta,Food
Went for Blood test emergency visit,Health
Paid for wellness center Dental treatment,Health
Bought local mall Cap,Shopping
Tea - Bajeko Sekuwa,Food
Enrolled in library Lab fee,Education
Steam PlayStation Plus,Entertainment
Paid Loan EMI annual payment,Bills
Amazon Prime membership - Amazon Prime,Entertainment
X-ray for August,Health
Pharmacy purchase - pharmacy,Health
Uber ride for May,Transport
Used Bike repair to home,Transport
Recharged Vehicle insurance from InDrive,Transport
Bought E-book purchase from PlayStation,Entertainment
Bought Daraz Headphones,Shopping
Got a new Amazon Shoes,Shopping
Booked diagnostic center Dental appointment,Health
Enrolled in Udemy College supplies,Education
Refueled with Scooter rental from gas station,Transport
Cleared Gas cylinder for the apartment,Bills
Purchased Workshop registration this semester,Education
Subscribed to YouTube Theatre ticket,Entertainment
Paid for PlayStation Music album,Entertainment
Renewed YouTube Premium from PlayStation,Entertainment
Bought Shoes from Daraz,Shopping
YouTube Bowling session,Entertainment
Bought Jeans,Shopping
Booked diagnostic center Gym membership,Health
Registered for Library fine from university,Education
Subscribed to E-book purchase with friends,Entertainment
Subscribed to Karaoke night weekend outing,Entertainment
shopping center Belt,Shopping
Paid for Credit card payment for the house,Bills
Bought Blood test from pharmacy,Health
Took out local bakery Sandwich,Food
Streaming service for October,Entertainment
Ordered Perfume,Shopping
Ordered online store Power bank,Shopping
Paid for Ride share from Uber,Transport
Cable TV bill for July,Bills
Comic book for September,Entertainment
Car rental - Pathao,Transport
Uber ride - local garage,Transport
Ordered Sneakers for birthday gift,Shopping
Paid for Electronics gadget from outlet store,Shopping
Paid for PlayStation Plus from Amazon Prime,Entertainment
Daraz Phone case,Shopping
Went for X-ray,Health
Booked Pathao ride from InDrive,Transport
Booked Parking fee from InDrive,Transport
Bought Gym membership,Health
Socks for August,Shopping
Went for hospital Hospital bill,Health
Registered for College fee from Udemy,Education
Booked gym Medical bill,Health
Cooking oil - street food stall,Food
Stationery for January,Education
Purchased new Phone case from boutique,Shopping
Bought bookstore Programming course,Education
Refueled with Pathao ride from InDrive,Transport
Bought Bowling session from Spotify,Entertainment
Recharged local garage Uber ride,Transport
Renewed Netflix YouTube Premium,Entertainment
Phone case for November,Shopping
Auto rickshaw fare - InDrive,Transport
Spotify Theatre ticket,Entertainment
Monthly rent for July,Bills
Bought Exam fee from local college,Education
Bought diagnostic center Medical bill,Health
Cleared NEA Electricity bill,Bills
Electricity bill - landlord,Bills
Purchased Textbooks for the workshop,Education
Workshop registration for March,Education
Health checkup - diagnostic center,Health
Booked Vaccination monthly,Health
Health insurance premium - gym,Health
Shopping for Amazon Headphones,Shopping
Had Milk from Domino's,Food
Got a new Belt seasonal sale,Shopping
Paid for Home loan installment,Bills
Monthly local ISP Home loan installment,Bills
Paid College fee for the course,Education
Paid for Kitchenware from online store,Shopping
Stationery for August,Education
Refueled with InDrive Metro card recharge,Transport
local mall Perfume,Shopping
petrol pump Vehicle insurance,Transport
Purchased Helmet purchase from petrol pump,Transport
Bought local college College tuition,Education
Ordered hotel restaurant Burrito,Food
Got a new boutique T-shirt,Shopping
Subscribed to Movie ticket from Netflix,Entertainment
Bowling session - Netflix,Entertainment
Purchased Parking fee from petrol pump,Transport
Ordered Phone case,Shopping
Apartment rent for September,Bills
Subscribed to Gaming subscription from Xbox Game Pass,Entertainment
Paid for Mobile recharge,Bills
Visited for Blood test from wellness center,Health
Purchased Helmet purchase airport transfer,Transport
Took out street food stall Fried rice,Food
Purchased Certification exam from coaching center,Education
Registered for bookstore Programming course,Education
Got a new Belt,Shopping
Cleared Loan EMI,Bills
Subscribed to Xbox Game Pass Disney+ subscription,Entertainment
Study materials - bookstore,Education
Backpack for July,Shopping
Visited for X-ray,Health
Got a new local mall Bag,Shopping
Car service - gas station,Transport
Bought Blood test,Health
Bought Bedsheet seasonal sale,Shopping
Purchased Amusement park ticket from Amazon Prime,Entertainment
Bought Study materials from bookstore,Education
Renewed Spotify subscription with friends,Entertainment
Recharged Uber ride airport transfer,Transport
Belt - local mall,Shopping
Ordered Power bank seasonal sale,Shopping
Bought wellness center Dental treatment,Health
Paid for PlayStation Plus from Xbox Game Pass,Entertainment
Took out restaurant Tea,Food
Cleared local ISP Water tank refill,Bills
Earrings from online store,Shopping
Train ticket - Pathao,Transport
Purchased new shopping center Charger,Shopping
Purchased Stationery this semester,Education
Bike repair for January,Transport
Paid for Gym membership monthly,Health
Pizza for December,Food
Paid for Taxi fare to the mall,Transport
Burger for September,Food
Cleared Gas cylinder from insurance company,Bills
Lunch at Grilled fish from local bakery,Food
Registered for bookstore Software license for study,Education
Visited for Hospital bill from diagnostic center,Health
Paid Home loan installment,Bills
Refueled with Tire replacement from InDrive,Transport
Sneakers for college,Shopping
Went for Surgery cost from pharmacy,Health
Paid School books,Education
Paid for Jacket from local mall,Shopping
Paid Apartment rent from bank,Bills
Paid for utility company Loan EMI,Bills
Took a Pathao Auto rickshaw fare,Transport
Purchased Certification exam from local college,Education
WiFi payment for July,Bills
Bought local cinema E-book purchase,Entertainment
Bought Movie ticket with friends,Entertainment
Seminar fee - library,Education
Noodles - hotel restaurant,Food
Paid for Video game purchase premium plan,Entertainment
Took a petrol pump Bike rental,Transport
Yoga class fee for March,Health
School books for November,Education
Ramen - Foodmandu,Food
Bought Disney+ E-book purchase,Entertainment
Enrolled in local college Stationery,Education
Got a new Sneakers seasonal sale,Shopping
Thukpa - cafe,Food
Falafel for August,Food
Paid for Bike fuel to the mall,Transport
Went for Physiotherapy session from wellness center,Health
Pharmacy purchase - local clinic,Health
Monthly Cable TV bill from telecom provider,Bills
Cooking oil - campus canteen,Food
Ordered Backpack from outlet store,Shopping
Paid for Yoga class fee checkup,Health
Registered for coaching center Seminar fee,Education
Grabbed Noodles with friends,Food
Milk - cafe,Food
Purchased Board game with friends,Entertainment
Purchased new online store Laptop bag,Shopping
Paid for Jeans for office,Shopping
Paid for Steam Video game purchase,Entertainment
Booked Pathao ride to hospital,Transport
Snack at Snacks at college,Food
Used Car service airport transfer,Transport
Got a new boutique Charger,Shopping
College tuition for August,Education
Dinner at Ice cream,Food
Recharged Bike fuel from InDrive,Transport
Purchased petrol pump Uber ride,Transport
Flight ticket from Pathao,Transport
Paid for bank Maintenance fee,Bills
Paid for X-ray from pharmacy,Health
Recharged Pathao ride airport transfer,Transport
Subscribed to Steam purchase premium plan,Entertainment
Dosa for March,Food
Amusement park ticket for May,Entertainment
Paid for Disney+ Spotify subscription,Entertainment
Used Tire replacement to home,Transport
Took out Ice cream from Starbucks,Food
Paid local ISP Cable TV bill,Bills
Snack at Pastry from McDonald's,Food
Shopping for Jeans online order,Shopping
Purchased Thesis printing for the workshop,Education
Booked YouTube Video game purchase,Entertainment
Snack at Tea from Wow Momo,Food
Purchased PlayStation Plus monthly plan,Entertainment
Power bank from boutique,Shopping
Purchased Amazon Prime membership from Spotify,Entertainment
Bought Yoga class fee follow-up visit,Health
Ordered Necklace from Daraz,Shopping
Bought College fee from university,Education
Ordered Umbrella seasonal sale,Shopping
Took a Vehicle insurance from local garage,Transport
Lunch at Dal bhat with friends,Food
Got a new Wallet from Amazon,Shopping
Paid for Makeup kit for office,Shopping
Refueled with Car rental from InDrive,Transport
Paid for local garage Tire replacement,Transport
Bought Movie ticket from Spotify,Entertainment
Lunch at Ramen from Pizza Hut,Food
College tuition,Education
Had Ice cream from cafe,Food
Purchased College supplies from Coursera,Education
Paid Online course from Udemy,Education
Bought T-shirt for birthday gift,Shopping
Refueled with Car service for a trip,Transport
Shopping for Bag seasonal sale,Shopping
Bought Surgery cost checkup,Health
Booked local cinema YouTube Premium,Entertainment
Renewed YouTube Movie ticket,Entertainment
Chowmein - dhaba,Food
Purchased Momo from street food stall,Food
Bowling session for September,Entertainment
Paid for Spotify subscription from Spotify,Entertainment
Shopping for Bedsheet seasonal sale,Shopping
Purchased Spotify subscription from Spotify,Entertainment
Pharmacy purchase - diagnostic center,Health
Settled bank Property tax,Bills
Purchased new outlet store T-shirt,Shopping
Booked Health insurance premium from diagnostic center,Health
College supplies - local college,Education
Fuel station for January,Transport
Dinner at street food stall Burrito,Food
Bought Sweater from Daraz,Shopping
Refueled with Fuel station from Pathao,Transport
Paid for PlayStation Comic book,Entertainment
Paid for Steam Steam purchase,Entertainment
Paid for Credit card payment from bank,Bills
Ordered shopping center Electronics gadget,Shopping
Got a new Jeans seasonal sale,Shopping
University fee for September,Education
Paid for Curtains from Amazon,Shopping
Paid for Comic book family plan,Entertainment
Purchased new Backpack seasonal sale,Shopping
Kebab - Foodmandu,Food
College tuition - local college,Education
Programming course for February,Education
Went for wellness center Lab test,Health
Thesis printing - bookstore,Education
Renewed Gaming subscription,Entertainment
Purchased new Sneakers,Shopping
Monthly bank Home loan installment,Bills
Fruits - Bajeko Sekuwa,Food
Purchased Seminar fee from Coursera,Education
Refueled with Uber ride to hospital,Transport
Enrolled in Coaching class fee,Education
Purchased Programming course from library,Education
Refueled with Parking fee from gas station,Transport
Ordered local mall Sneakers,Shopping
Breakfast at Ice cream during break,Food
Had Ramen from street food stall,Food
Recharged Train ticket to office,Transport
Shopping for Bedsheet from local mall,Shopping
Purchased local garage Scooter rental,Transport
Registered for Workshop registration from local college,Education
Steam purchase for August,Entertainment
Uber Scooter rental,Transport
Purchased Streaming service from Xbox Game Pass,Entertainment
Settled Gas cylinder from utility company,Bills
Sweater - outlet store,Shopping
Purchased Workshop registration from coaching center,Education
Bought hospital Dental appointment,Health
Purchased Sajha Yatayat Flight ticket,Transport
Bought Streaming service,Entertainment
Cleared telecom provider Loan EMI,Bills
Purchased Tire replacement to office,Transport
Subscribed to Gaming subscription from Disney+,Entertainment
Water bill - local ISP,Bills
Booked Physiotherapy session routine visit,Health
Bike rental for August,Transport
Took out Subway Fried rice,Food
Renewed Amusement park ticket from YouTube,Entertainment
Blood test for August,Health
Bought Library fine from library,Education
Bought outlet store Shirt,Shopping
Booked Train ticket from gas station,Transport
Got a new Electronics gadget for office,Shopping
Dinner at Bubble tea,Food
WiFi payment for November,Bills
Used Cab fare airport transfer,Transport
Went for diagnostic center Pharmacy purchase,Health
Ordered boutique Kitchenware,Shopping
Shopping for Amazon Socks,Shopping
Paid for Bike rental for weekend trip,Transport
Bought university Library fine,Education
Purchased new local mall Makeup kit,Shopping
Coaching class fee - Udemy,Education
Purchased new Shirt from boutique,Shopping
Took a Bike repair from Tootle,Transport
Karaoke night for August,Entertainment
Tea - Foodmandu,Food
Paid coaching center College fee,Education
College tuition for February,Education
Mobile recharge for June,Bills
Breakfast at Taco,Food
Went for Painkillers from pharmacy,Health
Paid for Bike wash from gas station,Transport
Bought Fried chicken,Food
Purchased new T-shirt from local mall,Shopping
Booked Diesel to home,Transport
Used Helmet purchase from petrol pump,Transport
Insurance premium - landlord,Bills
Purchased new Wallet from shopping center,Shopping
Ordered Laptop bag for birthday gift,Shopping
Paid utility company Gas cylinder,Bills
Cleared NEA WiFi payment,Bills
Metro card recharge for November,Transport
Spotify Music album,Entertainment
Snack at Fruits from Burger King,Food
Went for Health checkup from wellness center,Health
Paid for InDrive Petrol,Transport
Lab test for May,Health
Phone case from Daraz,Shopping
Purchased new Socks from outlet store,Shopping
Bought bookstore Textbooks,Education
Enrolled in Coursera Stationery,Education
Recharged Diesel,Transport
Monthly Credit card payment from telecom provider,Bills
Textbooks for December,Education
Falafel for June,Food
Refueled with Cab fare,Transport
Went for Vaccination from diagnostic center,Health
Registered for Programming course for the course,Education
Necklace for college,Shopping
Tire replacement for June,Transport
Karaoke night - Amazon Prime,Entertainment
Paid for diagnostic center Medicine,Health
Purchased Spotify subscription from Netflix,Entertainment
Paid Water bill from telecom provider,Bills
Paid for Insurance premium from utility company,Bills
Paid for Video game purchase from Xbox Game Pass,Entertainment
Ordered Falafel from hotel restaurant,Food
Subscribed to Streaming service,Entertainment
Paid for Gas cylinder quarterly payment,Bills
Refueled with gas station Scooter rental,Transport
Used Tire replacement to college,Transport
